Country (or dependency),Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,Region
Slovenia,2078989,0.01%,284,103,20140,2000,1.6,45,55%,0.03%,EUROPE
Solomon Islands,689671,2.55%,17061,25,27990,-1600,4.4,20,23%,0.01%,OCEANIA
Somalia,15965848,2.92%,450317,25,627340,-40000,6.1,17,47%,0.20%,AFRICA
South Korea,51276977,0.09%,43877,527,97230,11731,1.1,44,82%,0.66%,ASIA
Spain,46757980,0.04%,18002,94,498800,40000,1.3,45,80%,0.60%,EUROPE
Sri Lanka,21428970,0.42%,89516,341,62710,-97986,2.2,34,18%,0.27%,ASIA
Sudan,44019263,2.42%,1036022,25,1765048,-50000,4.4,20,35%,0.56%,AFRICA
Suriname,587541,0.90%,5260,4,156000,-1000,2.4,29,65%,0.01%,LATIN
Sweden,10110233,0.63%,62886,25,410340,40000,1.9,41,88%,0.13%,EUROPE
Switzerland,8665615,0.74%,63257,219,39516,52000,1.5,43,74%,0.11%,EUROPE
Syria,17571053,2.52%,430523,95,183630,-427391,2.8,26,60%,0.22%,NEAR_EAST
Taiwan,23824369,0.18%,42899,673,35410,30001,1.2,42,79%,0.31%,ASIA
Tajikistan,9573310,2.32%,216627,68,139960,-20000,3.6,22,27%,0.12%,ASIA
Tanzania,60012400,2.98%,1728755,67,885800,-40076,4.9,18,37%,0.77%,AFRICA
Thailand,69830779,0.25%,174396,137,510890,19444,1.5,40,51%,0.90%,ASIA
Togo,8310934,2.43%,196358,152,54390,-2000,4.4,19,43%,0.11%,AFRICA
Tonga,105901,1.15%,1201,147,720,-800,3.6,22,24%,0.00%,OCEANIA
Tunisia,11839918,1.06%,123900,76,155360,-4000,2.2,33,70%,0.15%,AFRICA
Turkey,84495243,1.09%,909452,110,769630,283922,2.1,32,76%,1.08%,NEAR_EAST
Turkmenistan,6046292,1.50%,89111,13,469930,-5000,2.8,27,53%,0.08%,ASIA
Tuvalu,11817,1.25%,146,393,30,,,,62%,0.00%,OCEANIA
Uganda,45974931,3.32%,1471413,229,199810,168694,5,17,26%,0.59%,AFRICA
Ukraine,43686577,-0.59%,-259876,75,579320,10000,1.4,41,69%,0.56%,EUROPE
United Arab Emirates,9910892,1.23%,119873,118,83600,40000,1.4,33,86%,0.13%,NEAR_EAST
United Kingdom,67948282,0.53%,355839,281,241930,260650,1.8,40,83%,0.87%,EUROPE
United States,331341050,0.59%,1937734,36,9147420,954806,1.8,38,83%,4.25%,NORTHERN_AMERICA
Uruguay,3475842,0.35%,11996,20,175020,-3000,2,36,96%,0.04%,LATIN
Uzbekistan,33551824,1.48%,487487,79,425400,-8863,2.4,28,50%,0.43%,ASIA
Vanuatu,308337,2.42%,7263,25,12190,120,3.8,21,24%,0.00%,OCEANIA
Venezuela,28421581,-0.28%,-79889,32,882050,-653249,2.3,30,,0.36%,LATIN
Vietnam,97490013,0.91%,876473,314,310070,-80000,2.1,32,38%,1.25%,ASIA
Western Sahara,599769,2.55%,14876,2,266000,5582,2.4,28,87%,0.01%,AFRICA
Yemen,29935468,2.28%,664042,56,527970,-30000,3.8,20,38%,0.38%,NEAR_EAST
Zambia,18468257,2.93%,522925,25,743390,-8000,4.7,18,45%,0.24%,AFRICA
Zimbabwe,14899771,1.48%,217456,38,386850,-116858,3.6,19,38%,0.19%,AFRICA
